id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41339,Porto city flat near the sea,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,56,7,25,2024-08-16,0.18,1,4,3,29049/AL
55111,Fontielas Houses |Floor1 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35356,Entire home/apt,,4,20,2024-08-14,0.18,3,0,1,7563/AL
73828,Fontielas Houses |Floor0 in House with shared Pool,259711,Isabel E João,PAREDES,Cete,41.17447,-8.35423,Entire home/apt,,5,15,2024-08-21,0.13,3,0,1,7563/AL
87873,Oporto Apartment Triplex,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,100,3,248,2024-08-31,1.65,4,311,11,634/AL
94701,Big TERRACE APARTMENT / city center,505473,Gundega & Antonio,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,77,3,302,2024-08-28,1.86,1,337,13,85541/AL
96394,Boat Blue Days,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.14296,-8.65203,Entire home/apt,214,1,11,2023-09-25,0.11,1,364,1,90/2015
100521,casa de praia,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07378,-8.65368,Private room,,1,0,,,1,0,0,
104045,Duplex Penthouse Apartament - 4 Bedrooms,541968,Aida,PORTO,Bonfim,41.1605,-8.59871,Entire home/apt,126,3,306,2024-07-27,1.91,1,353,12,11205/AL
105347,Minha casinha / My little house,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12945,-8.58562,Entire home/apt,76,4,162,2024-09-08,1.18,1,284,15,135964/AL
108153,Rooms-Piscina-Praia,559704,Armando,ESPINHO,Anta e Guetim,40.99903,-8.61693,Private room,70,2,15,2024-08-26,0.15,2,365,2,10224
122362,Private house in Oporto - Portugal,613350,Olga,PORTO,Paranhos,41.17576,-8.6232,Entire home/apt,130,2,94,2024-06-02,0.77,1,333,6,17076/AL
125872,B&B - Luxury Suite with HQ private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12535,-8.6142,Private room,68,2,241,2022-09-25,1.49,2,315,0,Exempt
127208,B & B  Room Yoga Garden's Place,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,38,2,555,2024-09-07,3.54,1,205,35,34971/AL
128557,B&B-High Quality room 10min. walk from WineCellars,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12485,-8.6139,Private room,36,2,518,2023-10-29,3.21,2,0,3,Exempt
